,Wound,Experiment,Folder Name,Path,Count
0,Wound_6,Porcine_Expt_4,2022-11-02-00-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_6/2022-11-02-00-10/2022-10-25-06-44-47.jpg,11
1,Wound_6,Porcine_Expt_4,2022-11-02-15-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_6/2022-11-02-15-10/2022-10-25-07-15-52.jpg,11
2,Wound_6,Porcine_Expt_4,2022-11-02-05-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_6/2022-11-02-05-10/2022-10-25-06-56-02.jpg,11
3,Wound_6,Porcine_Expt_4,2022-11-02-10-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_6/2022-11-02-10-10/2022-10-25-07-06-07.jpg,11
4,Wound_6,Porcine_Expt_4,2022-11-01-16-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_6/2022-11-01-16-40/2022-10-25-06-29-50.jpg,11
5,Wound_6,Porcine_Expt_4,2022-11-01-19-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_6/2022-11-01-19-10/2022-10-25-06-36-16.jpg,11
6,Wound_6,Porcine_Expt_4,2022-11-01-14-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_6/2022-11-01-14-10/2022-10-25-06-26-59.jpg,11
7,Wound_6,Porcine_Expt_4,2022-11-01-21-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_6/2022-11-01-21-40/2022-10-25-06-41-02.jpg,11
8,Wound_6,Porcine_Expt_4,2022-11-01-11-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_6/2022-11-01-11-40/2022-10-25-06-17-02.jpg,11
9,Wound_6,Porcine_Expt_4,2022-11-02-02-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_6/2022-11-02-02-40/2022-10-25-06-49-28.jpg,11
10,Wound_6,Porcine_Expt_4,2022-11-02-07-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_6/2022-11-02-07-40/2022-10-25-07-02-13.jpg,11
11,Wound_6,Porcine_Expt_4,2022-11-02-12-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_6/2022-11-02-12-40/2022-10-25-07-11-58.jpg,11
12,Wound_5,Porcine_Expt_4,2022-11-02-12-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_5/2022-11-02-12-40/2022-10-25-07-14-15.jpg,11
13,Wound_5,Porcine_Expt_4,2022-11-02-07-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_5/2022-11-02-07-40/2022-10-25-07-03-58.jpg,11
14,Wound_5,Porcine_Expt_4,2022-11-01-11-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_5/2022-11-01-11-40/2022-10-25-06-20-44.jpg,11
15,Wound_5,Porcine_Expt_4,2022-11-02-02-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_5/2022-11-02-02-40/2022-10-25-06-51-41.jpg,11
16,Wound_5,Porcine_Expt_4,2022-11-01-21-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_5/2022-11-01-21-40/2022-10-25-06-43-15.jpg,11
17,Wound_5,Porcine_Expt_4,2022-11-01-14-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_5/2022-11-01-14-10/2022-10-25-06-28-17.jpg,11
18,Wound_5,Porcine_Expt_4,2022-11-01-19-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_5/2022-11-01-19-10/2022-10-25-06-36-44.jpg,11
19,Wound_5,Porcine_Expt_4,2022-11-01-16-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_5/2022-11-01-16-40/2022-10-25-06-31-54.jpg,11
20,Wound_5,Porcine_Expt_4,2022-11-02-10-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_5/2022-11-02-10-10/2022-10-25-07-08-40.jpg,11
21,Wound_5,Porcine_Expt_4,2022-11-02-05-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_5/2022-11-02-05-10/2022-10-25-06-56-58.jpg,11
22,Wound_5,Porcine_Expt_4,2022-11-02-15-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_5/2022-11-02-15-10/2022-10-25-07-18-12.jpg,11
23,Wound_5,Porcine_Expt_4,2022-11-02-00-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_2/Wound_5/2022-11-02-00-10/2022-10-25-06-45-57.jpg,11
24,Wound_2,Porcine_Expt_4,2022-11-02-12-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-02-12-40/2022-10-25-06-38-47.jpg,11
25,Wound_2,Porcine_Expt_4,2022-11-02-07-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-02-07-40/2022-10-25-05-56-31.jpg,11
26,Wound_2,Porcine_Expt_4,2022-11-02-17-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-02-17-40/2022-10-25-07-00-36.jpg,11
27,Wound_2,Porcine_Expt_4,2022-11-02-02-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-02-02-40/2022-10-25-05-13-24.jpg,11
28,Wound_2,Porcine_Expt_4,2022-11-01-11-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-01-11-40/2022-10-25-03-02-57.jpg,11
29,Wound_2,Porcine_Expt_4,2022-11-02-22-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-02-22-40/2022-10-25-07-43-45.jpg,11
30,Wound_2,Porcine_Expt_4,2022-11-01-21-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-01-21-40/2022-10-25-04-30-15.jpg,11
31,Wound_2,Porcine_Expt_4,2022-11-01-14-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-01-14-10/2022-10-25-03-24-32.jpg,11
32,Wound_2,Porcine_Expt_4,2022-11-02-20-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-02-20-10/2022-10-25-07-21-55.jpg,11
33,Wound_2,Porcine_Expt_4,2022-11-01-19-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-01-19-10/2022-10-25-04-08-49.jpg,11
34,Wound_2,Porcine_Expt_4,2022-11-01-16-40,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-01-16-40/2022-10-25-03-46-14.jpg,11
35,Wound_2,Porcine_Expt_4,2022-11-02-10-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-02-10-10/2022-10-25-06-17-50.jpg,11
36,Wound_2,Porcine_Expt_4,2022-11-02-05-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-02-05-10/2022-10-25-05-34-50.jpg,11
37,Wound_2,Porcine_Expt_4,2022-11-02-15-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-02-15-10/2022-10-25-07-00-43.jpg,5
38,Wound_2,Porcine_Expt_4,2022-11-02-00-10,/20221021-20221104 Swine Expt-4/Wound Picture From Device/Porcine_Exp_4/Pi_1/Wound_2/2022-11-02-00-10/2022-10-25-04-51-41.jpg,6
